Hardware allocated: cuda
STATERA PoC Temporal Tracking Training Started...
Epoch[4/50] | Train Batch[210/334] | Time (10 batches): 69.11s | Loss: 8.6061 (wH: 5.9466, wZ: 1.7754, wM: 24.8195)
Epoch[4/50] | Train Batch[220/334] | Time (10 batches): 69.16s | Loss: 8.3532 (wH: 6.1898, wZ: 1.1197, wM: 20.5142)
Epoch[4/50] | Train Batch[230/334] | Time (10 batches): 69.09s | Loss: 8.2880 (wH: 6.2223, wZ: 1.3294, wM: 19.3280)
Epoch[4/50] | Train Batch[240/334] | Time (10 batches): 69.10s | Loss: 8.4872 (wH: 6.2077, wZ: 1.0553, wM: 21.7402)
Epoch[4/50] | Train Batch[250/334] | Time (10 batches): 69.08s | Loss: 8.1097 (wH: 6.2346, wZ: 1.0946, wM: 17.6561)
Epoch[4/50] | Train Batch[260/334] | Time (10 batches): 69.16s | Loss: 8.6448 (wH: 6.0437, wZ: 1.6290, wM: 24.3811)
Epoch[4/50] | Train Batch[270/334] | Time (10 batches): 69.28s | Loss: 8.4761 (wH: 6.1591, wZ: 1.4185, wM: 21.7511)
Epoch[4/50] | Train Batch[280/334] | Time (10 batches): 69.13s | Loss: 7.5790 (wH: 6.0284, wZ: 0.9037, wM: 14.6025)
Epoch[4/50] | Train Batch[290/334] | Time (10 batches): 69.48s | Loss: 7.8434 (wH: 5.8837, wZ: 0.8765, wM: 18.7210)
Epoch[4/50] | Train Batch[300/334] | Time (10 batches): 69.10s | Loss: 8.0647 (wH: 5.9936, wZ: 1.0107, wM: 19.7005)
Epoch[4/50] | Train Batch[310/334] | Time (10 batches): 69.14s | Loss: 7.9958 (wH: 6.1012, wZ: 1.2172, wM: 17.7287)
Epoch[4/50] | Train Batch[320/334] | Time (10 batches): 69.04s | Loss: 8.2023 (wH: 5.8788, wZ: 1.2652, wM: 21.9707)
Epoch[4/50] | Train Batch[330/334] | Time (10 batches): 69.10s | Loss: 7.7522 (wH: 5.9297, wZ: 0.9432, wM: 17.2815)
=== Epoch 4 Completed in 2879.1s | Sigma: 11.55 ===
Train - wHeatmap: 6.1166 | wZ-Depth: 1.0581 | wMag: 19.4264
Val   - wHeatmap: 6.0586 | wZ-Depth: 0.8302 | wMag: 19.1432 ✓[Checkpoint Saved]
➔ PHYSICAL SCRUTINY: Missed CoM by 7.24 internal pixels -> ~43.5 pixels on ACTUAL 384x384 video.

Epoch[5/50] | Train Batch[0/334] | Time (1st batch): 6.93s | Loss: 7.7295 (wH: 6.1796, wZ: 1.2641, wM: 14.2350)
Epoch[5/50] | Train Batch[10/334] | Time (10 batches): 69.04s | Loss: 8.7127 (wH: 5.9154, wZ: 0.9490, wM: 27.0248)
Epoch[5/50] | Train Batch[20/334] | Time (10 batches): 69.00s | Loss: 7.8337 (wH: 5.7588, wZ: 0.8867, wM: 19.8619)
Epoch[5/50] | Train Batch[30/334] | Time (10 batches): 68.98s | Loss: 7.6552 (wH: 5.8939, wZ: 0.4992, wM: 17.1133)
Epoch[5/50] | Train Batch[40/334] | Time (10 batches): 68.99s | Loss: 8.1705 (wH: 5.9510, wZ: 0.8193, wM: 21.3758)
Epoch[5/50] | Train Batch[50/334] | Time (10 batches): 69.13s | Loss: 7.7942 (wH: 6.0254, wZ: 0.8716, wM: 16.8172)
Epoch[5/50] | Train Batch[60/334] | Time (10 batches): 69.05s | Loss: 8.1372 (wH: 5.9837, wZ: 1.0850, wM: 20.4493)
Epoch[5/50] | Train Batch[70/334] | Time (10 batches): 69.12s | Loss: 7.4522 (wH: 5.9681, wZ: 0.7105, wM: 14.1309)
Epoch[5/50] | Train Batch[80/334] | Time (10 batches): 69.05s | Loss: 7.3497 (wH: 5.7659, wZ: 0.7859, wM: 15.0519)
Epoch[5/50] | Train Batch[90/334] | Time (10 batches): 69.02s | Loss: 7.8034 (wH: 6.0026, wZ: 0.9058, wM: 17.1030)
Epoch[5/50] | Train Batch[100/334] | Time (10 batches): 69.12s | Loss: 7.8178 (wH: 6.0527, wZ: 0.7660, wM: 16.8853)
Epoch[5/50] | Train Batch[110/334] | Time (10 batches): 69.08s | Loss: 7.5365 (wH: 5.8845, wZ: 1.0847, wM: 15.4349)
Epoch[5/50] | Train Batch[120/334] | Time (10 batches): 69.10s | Loss: 7.6101 (wH: 5.9952, wZ: 0.6014, wM: 15.5474)
Epoch[5/50] | Train Batch[130/334] | Time (10 batches): 69.18s | Loss: 7.5994 (wH: 5.6472, wZ: 1.3592, wM: 18.1625)
Epoch[5/50] | Train Batch[140/334] | Time (10 batches): 69.30s | Loss: 7.8839 (wH: 5.8366, wZ: 1.3998, wM: 19.0731)
Epoch[5/50] | Train Batch[150/334] | Time (10 batches): 69.11s | Loss: 8.0095 (wH: 5.7475, wZ: 1.1883, wM: 21.4314)
Epoch[5/50] | Train Batch[160/334] | Time (10 batches): 69.18s | Loss: 7.3387 (wH: 5.7086, wZ: 0.8315, wM: 15.4696)
Epoch[5/50] | Train Batch[170/334] | Time (10 batches): 69.09s | Loss: 7.3333 (wH: 5.7470, wZ: 0.7678, wM: 15.0951)
